cell_key,image_array
0,[0.         0.         0.         ... 0.         0.00392157 0.        ]
0,[0.72156864 0.6156863  0.6745098  ... 0.         0.         0.        ]
0,[0.01568628 0.         0.01568628 ... 0.         0.         0.        ]
0,[0.         0.         0.         ... 0.79607844 0.80784315 0.78039217]
0,[0.         0.00392157 0.         ... 0.         0.         0.        ]
0,[0.         0.         0.         ... 0.8156863  0.80784315 0.7254902 ]
0,[0.         0.00392157 0.         ... 0.7764706  0.70980394 0.7490196 ]
0,[0.827451   0.84705883 0.8235294  ... 0.         0.         0.        ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.         0.00392157 0.00784314 ... 0.         0.         0.        ]
0,[0.         0.         0.00784314 ... 0.         0.         0.        ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.         0.         0.         ... 0.01176471 0.         0.        ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.74509805 0.60784316 0.6862745  ... 0.         0.         0.        ]
0,[0.7137255  0.64705884 0.72156864 ... 0.         0.         0.        ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.         0.         0.01960784 ... 0.         0.         0.        ]
0,[0.74509805 0.7764706  0.73333335 ... 0.         0.         0.        ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.05098039 0.         0.05098039 ... 0.         0.00392157 0.        ]
0,[0.         0.00392157 0.         ... 0.         0.         0.        ]
0,[0.         0.         0.         ... 0.00392157 0.         0.00784314]
0,[0.         0.         0.         ... 0.74509805 0.7019608  0.6784314 ]
0,[0.         0.         0.         ... 0.         0.02745098 0.00784314]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.01568628 0.01176471 0.00392157 ... 0.         0.         0.        ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.00392157 0.         0.         ... 0.7882353  0.8039216  0.8156863 ]
0,[0.7764706 0.7921569 0.827451  ... 0.        0.        0.       ]
0,[0.01568628 0.01960784 0.03921569 ... 0.         0.         0.        ]
0,[0.         0.         0.         ... 0.         0.00784314 0.00392157]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.         0.         0.         ... 0.         0.00392157 0.        ]
0,[0.6431373  0.54509807 0.5568628  ... 0.         0.         0.        ]
0,[0.         0.00392157 0.         ... 0.         0.         0.        ]
0,[0.         0.         0.         ... 0.73333335 0.65882355 0.6431373 ]
0,[0.         0.         0.         ... 0.         0.         0.01568628]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.7254902  0.62352943 0.65882355 ... 0.         0.         0.        ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.         0.         0.         ... 0.00392157 0.         0.01568628]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.         0.         0.         ... 0.00392157 0.         0.02745098]
0,[0.01960784 0.01960784 0.01960784 ... 0.         0.         0.        ]
0,[0.05490196 0.         0.07843138 ... 0.         0.         0.        ]
0,[0.        0.        0.        ... 0.8235294 0.8235294 0.7921569]
0,[0.         0.         0.         ... 0.02352941 0.         0.        ]
0,[0.         0.         0.         ... 0.         0.01176471 0.00784314]
0,[0.8235294  0.74509805 0.7176471  ... 0.         0.         0.        ]
0,[0.         0.00392157 0.         ... 0.         0.         0.        ]
0,[0.         0.         0.         ... 0.7607843  0.78039217 0.75686276]
0,[0.         0.         0.         ... 0.79607844 0.827451   0.7764706 ]
0,[0.         0.         0.         ... 0.68235296 0.54901963 0.5019608 ]
0,[0.         0.         0.         ... 0.00784314 0.00392157 0.02745098]
0,[0.         0.         0.         ... 0.         0.         0.01960784]
0,[0.7764706 0.7529412 0.7607843 ... 0.        0.        0.       ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.8352941 0.8352941 0.827451  ... 0.        0.        0.       ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.         0.         0.         ... 0.01568628 0.         0.07450981]
0,[0.         0.         0.         ... 0.7411765  0.60784316 0.6       ]
0,[0.         0.00392157 0.01568628 ... 0.         0.         0.        ]
0,[0.         0.         0.         ... 0.00392157 0.         0.        ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.         0.00784314 0.         ... 0.01176471 0.         0.01568628]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.         0.         0.         ... 0.7294118  0.60784316 0.5882353 ]
0,[0.         0.         0.         ... 0.02352941 0.02352941 0.02352941]
0,[0.         0.         0.         ... 0.00392157 0.         0.00784314]
0,[0.         0.         0.         ... 0.8039216  0.8117647  0.80784315]
0,[0.77254903 0.6745098  0.59607846 ... 0.         0.         0.        ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.        0.        0.        ... 0.827451  0.8235294 0.7529412]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.         0.00784314 0.         ... 0.         0.         0.        ]
0,[0.7019608 0.6117647 0.5882353 ... 0.        0.        0.       ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.79607844 0.78431374 0.75686276 ... 0.         0.         0.        ]
0,[0.         0.         0.         ... 0.75686276 0.69411767 0.7058824 ]
0,[0.        0.        0.        ... 0.5411765 0.5137255 0.7176471]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.        0.        0.        ... 0.8352941 0.8156863 0.8      ]
0,[0.         0.00392157 0.         ... 0.7882353  0.7294118  0.7019608 ]
0,[0.00784314 0.00784314 0.00784314 ... 0.         0.         0.        ]
0,[0.         0.         0.         ... 0.07843138 0.         0.        ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.         0.         0.         ... 0.01176471 0.         0.        ]
0,[0.         0.00784314 0.00784314 ... 0.         0.         0.        ]
0,[0.74509805 0.70980394 0.6509804  ... 0.         0.         0.        ]
0,[0.         0.         0.         ... 0.04313726 0.01960784 0.06666667]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.         0.         0.         ... 0.75686276 0.7647059  0.7137255 ]
0,[0.77254903 0.6627451  0.65882355 ... 0.         0.         0.        ]
0,[0.         0.         0.         ... 0.         0.         0.04313726]
0,[0.         0.         0.         ... 0.67058825 0.56078434 0.6509804 ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.         0.         0.         ... 0.01176471 0.         0.        ]
0,[0.7647059  0.76862746 0.7372549  ... 0.         0.         0.        ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.         0.         0.         ... 0.8117647  0.8352941  0.79607844]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.         0.         0.         ... 0.8117647  0.79607844 0.7607843 ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.         0.         0.         ... 0.7607843  0.78039217 0.7529412 ]
0,[0.         0.         0.         ... 0.         0.00784314 0.        ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.         0.         0.00784314 ... 0.         0.         0.        ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.7607843 0.7058824 0.6627451 ... 0.        0.        0.       ]
0,[0.         0.         0.         ... 0.         0.00392157 0.00784314]
0,[0.63529414 0.54901963 0.7019608  ... 0.         0.         0.        ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.01176471 0.01960784 0.         ... 0.         0.         0.        ]
0,[0.         0.         0.         ... 0.81960785 0.7764706  0.8       ]
0,[0.         0.         0.         ... 0.7921569  0.8117647  0.79607844]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.00392157 0.         0.         ... 0.         0.         0.01960784]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.7058824  0.65882355 0.7529412  ... 0.         0.         0.        ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.00392157 0.         0.02745098 ... 0.         0.         0.        ]
0,[0.8392157  0.827451   0.80784315 ... 0.         0.         0.        ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.         0.         0.         ... 0.78431374 0.8039216  0.78039217]
0,[0.         0.         0.02745098 ... 0.         0.         0.        ]
0,[0.         0.00392157 0.         ... 0.         0.00392157 0.        ]
0,[0.         0.         0.         ... 0.00392157 0.00392157 0.01176471]
0,[0.02352941 0.         0.         ... 0.         0.00784314 0.01960784]
0,[0.         0.         0.01568628 ... 0.         0.         0.        ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.58431375 0.49019608 0.62352943 ... 0.         0.         0.        ]
0,[0.         0.         0.         ... 0.         0.00392157 0.        ]
0,[0.        0.        0.        ... 0.7490196 0.6627451 0.6117647]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.         0.         0.         ... 0.01176471 0.         0.        ]
0,[0.         0.         0.01960784 ... 0.         0.         0.        ]
0,[0.         0.         0.01568628 ... 0.         0.00392157 0.        ]
0,[0.         0.         0.         ... 0.01176471 0.01176471 0.01176471]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.8156863  0.8352941  0.81960785 ... 0.74509805 0.69803923 0.7372549 ]
0,[0.76862746 0.627451   0.5803922  ... 0.         0.         0.        ]
0,[0.         0.         0.         ... 0.         0.00784314 0.        ]
0,[0.         0.01176471 0.         ... 0.         0.         0.        ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.         0.         0.         ... 0.00392157 0.         0.        ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.77254903 0.654902   0.6862745  ... 0.         0.         0.        ]
0,[0.         0.         0.         ... 0.01960784 0.04313726 0.02745098]
0,[0.        0.        0.        ... 0.7176471 0.5764706 0.6862745]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.         0.         0.         ... 0.76862746 0.77254903 0.7411765 ]
0,[0.65882355 0.54509807 0.5647059  ... 0.         0.         0.        ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.03921569 0.         0.         ... 0.         0.         0.        ]
0,[0.         0.00392157 0.         ... 0.         0.00392157 0.        ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.         0.         0.         ... 0.01568628 0.         0.        ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.00392157 0.         0.         ... 0.         0.         0.        ]
0,[0.        0.        0.        ... 0.8235294 0.827451  0.8039216]
0,[0.         0.         0.02745098 ... 0.79607844 0.7019608  0.6862745 ]
0,[0.76862746 0.7137255  0.67058825 ... 0.         0.         0.        ]
0,[0.         0.         0.         ... 0.         0.00392157 0.        ]
0,[0.         0.         0.         ... 0.         0.00392157 0.        ]
0,[0.627451   0.41960785 0.88235295 ... 0.         0.         0.        ]
0,[0.         0.         0.         ... 0.7607843  0.7490196  0.68235296]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.         0.         0.         ... 0.         0.         0.00784314]
0,[0.         0.         0.01568628 ... 0.         0.         0.        ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.         0.         0.         ... 0.00392157 0.         0.        ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.         0.         0.         ... 0.01568628 0.         0.01568628]
0,[0.01176471 0.01176471 0.00392157 ... 0.         0.         0.        ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.7372549  0.6        0.62352943 ... 0.         0.00392157 0.01568628]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.8039216  0.8235294  0.79607844 ... 0.         0.         0.        ]
0,[0.7411765 0.6666667 0.6431373 ... 0.        0.        0.       ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.00392157 0.         0.         ... 0.         0.         0.        ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.7176471 0.5764706 0.5764706 ... 0.        0.        0.       ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.00392157 0.         0.         ... 0.         0.         0.        ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.         0.         0.         ... 0.75686276 0.7764706  0.7882353 ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.81960785 0.8        0.8784314  ... 0.         0.         0.        ]
0,[0.        0.        0.        ... 0.7647059 0.6862745 0.6901961]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.00392157 0.02745098 0.01176471 ... 0.         0.         0.        ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.         0.         0.         ... 0.73333335 0.62352943 0.67058825]
0,[0.         0.01176471 0.02745098 ... 0.         0.         0.        ]
0,[0.6901961 0.5647059 0.5686275 ... 0.        0.        0.       ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.01176471 0.         0.         ... 0.         0.         0.        ]
0,[0.         0.         0.         ... 0.01568628 0.02352941 0.01960784]
0,[0.80784315 0.8117647  0.6784314  ... 0.00392157 0.         0.01960784]
0,[0.         0.         0.         ... 0.7647059  0.7607843  0.78039217]
0,[0.         0.         0.         ... 0.7019608  0.58431375 0.85882354]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.7647059 0.6901961 0.6666667 ... 0.        0.        0.       ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.         0.         0.01568628 ... 0.7882353  0.7372549  0.7019608 ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.         0.01176471 0.         ... 0.         0.         0.        ]
0,[0.         0.         0.         ... 0.         0.         0.02745098]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.00392157 0.         0.         ... 0.         0.         0.        ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.00784314 0.02352941 0.02745098 ... 0.         0.         0.        ]
0,[0.7529412  0.7372549  0.7411765  ... 0.74509805 0.6901961  0.6862745 ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.01176471 0.         0.01568628 ... 0.         0.         0.        ]
0,[0.         0.         0.01568628 ... 0.         0.         0.        ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.05098039 0.03529412 0.03137255 ... 0.         0.         0.        ]
0,[0.7176471 0.6117647 0.6392157 ... 0.        0.        0.       ]
0,[0.         0.         0.         ... 0.00392157 0.         0.        ]
0,[0.68235296 0.5686275  0.5529412  ... 0.         0.00784314 0.03137255]
0,[0.8        0.8039216  0.77254903 ... 0.         0.         0.        ]
0,[0.6862745  0.58431375 0.5803922  ... 0.         0.         0.        ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.7607843  0.8039216  0.77254903 ... 0.         0.         0.        ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.01176471 0.         0.         ... 0.         0.         0.        ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.         0.         0.         ... 0.79607844 0.8039216  0.7921569 ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.         0.         0.01568628 ... 0.         0.         0.        ]
0,[0.        0.        0.        ... 0.827451  0.827451  0.7882353]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.         0.         0.         ... 0.77254903 0.7921569  0.76862746]
0,[0.         0.         0.00784314 ... 0.         0.         0.        ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.8235294  0.7647059  0.7529412  ... 0.02352941 0.         0.01568628]
0,[0.01568628 0.         0.         ... 0.         0.         0.        ]
0,[0.8        0.7254902  0.65882355 ... 0.         0.         0.        ]
0,[0.         0.         0.         ... 0.8        0.8039216  0.77254903]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.         0.         0.         ... 0.80784315 0.6392157  0.7058824 ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.8509804  0.85882354 0.84705883 ... 0.         0.00392157 0.        ]
0,[0.         0.         0.         ... 0.         0.         0.01568628]
0,[0.00392157 0.         0.         ... 0.         0.         0.        ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.00784314 0.01568628 0.01176471 ... 0.         0.         0.        ]
0,[0.         0.         0.         ... 0.02352941 0.01960784 0.05098039]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.         0.00392157 0.         ... 0.         0.         0.        ]
0,[0.02745098 0.00784314 0.         ... 0.         0.         0.        ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.00392157 0.         0.         ... 0.7764706  0.78431374 0.7294118 ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.         0.         0.         ... 0.7647059  0.69411767 0.6862745 ]
0,[0.         0.         0.         ... 0.         0.01176471 0.00784314]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.         0.         0.         ... 0.8235294  0.83137256 0.7882353 ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.06666667 0.02745098 0.0627451  ... 0.         0.         0.        ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.7294118 0.7019608 0.627451  ... 0.        0.        0.       ]
0,[0.8509804  0.8117647  0.77254903 ... 0.         0.         0.        ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.         0.         0.         ... 0.02352941 0.         0.        ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.         0.         0.         ... 0.78039217 0.81960785 0.7764706 ]
0,[0.         0.         0.         ... 0.00392157 0.         0.        ]
0,[0.         0.         0.         ... 0.00392157 0.         0.        ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.         0.         0.         ... 0.01568628 0.00392157 0.03137255]
0,[0.8        0.80784315 0.8039216  ... 0.         0.         0.        ]
0,[0.81960785 0.84705883 0.8156863  ... 0.         0.         0.        ]
0,[0.         0.         0.         ... 0.7254902  0.7411765  0.74509805]
0,[0.7921569  0.7254902  0.75686276 ... 0.         0.         0.        ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.         0.         0.         ... 0.01176471 0.00392157 0.04705882]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.         0.         0.         ... 0.8117647  0.8235294  0.88235295]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.         0.         0.         ... 0.7411765  0.77254903 0.7137255 ]
0,[0.         0.         0.         ... 0.02352941 0.         0.        ]
0,[0.01176471 0.         0.         ... 0.         0.         0.        ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.         0.         0.         ... 0.8156863  0.81960785 0.7882353 ]
0,[0.7529412  0.67058825 0.65882355 ... 0.         0.         0.        ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.        0.        0.        ... 0.7490196 0.6       0.7607843]
0,[0.         0.         0.         ... 0.         0.00392157 0.        ]
0,[0.78039217 0.8        0.78431374 ... 0.         0.         0.        ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.05098039 0.         0.         ... 0.         0.         0.        ]
0,[0.01176471 0.01960784 0.         ... 0.         0.         0.        ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.         0.         0.         ... 0.84705883 0.84705883 0.8392157 ]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.7882353 0.7529412 0.7254902 ... 0.        0.        0.       ]
0,[0.01176471 0.         0.00784314 ... 0.         0.         0.        ]
0,[0.7921569  0.78431374 0.69411767 ... 0.84705883 0.8509804  0.81960785]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.         0.         0.         ... 0.         0.         0.01568628]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0.         0.00392157 0.         ... 0.         0.         0.        ]
0,[0.         0.         0.01568628 ... 0.         0.         0.        ]
0,[0.        0.        0.        ... 0.7254902 0.7176471 0.7294118]
0,[0.         0.         0.         ... 0.01176471 0.         0.        ]
0,[0.         0.         0.         ... 0.8352941  0.8392157  0.80784315]
0,[0.7647059 0.7019608 0.7058824 ... 0.        0.        0.       ]
0,[0.         0.         0.         ... 0.         0.00392157 0.        ]
0,[0.         0.         0.         ... 0.00392157 0.02352941 0.03529412]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
0,[0. 0. 0. ... 0. 0. 0.]
